Comments,Label
হঠাৎ আফগান ক্রিকেট বোর্ড প্রধানের পদত্যাগ,1.0
টস হেরে বোলিংয়ে বাংলাদেশ,1.0
রাজধানীতে বিশেষ অভিযানে আটক ৪৩,1.0
উস্কানি রোধে নজরদারি থাকবে সামাজিক যোগাযোগ মাধ্যমে,1.0
"'যেখানে তেল আসত ৭ দিনে, এখন তা আসবে অতি দ্রুত'",1.0
আইনগত ভিত্তি পেলেই ইভিএম ব্যবহার: সিইসি,1.0
রিয়ালের চ্যাম্পিয়নের মতোই শুরু,1.0
ডিজিটাল পাঠ্যবই শিক্ষার্থী ও শিক্ষক উভয়ের জন্য সহায়ক হবে: শিক্ষামন্ত্রী,1.0
"আমার পক্ষে বিপক্ষে মিডিয়ায় কে কি লিখলো, না লিখলো চিন্তা করি না: প্রধানমন্ত্রী",1.0
টিম ম্যানেজমেন্টকে বেকায়দায় ফেলে দিলেন লিটন-শান্ত,1.0
"এলকোহল মিশ্রিত পানীয় পান, বাংলাদেশী সহ ২১ জনের মৃত্যু",1.0
মুক্তিযোদ্ধা কোটায় ২৮৬ নিয়োগ দেবে সোনালী ব্যাংক,1.0
পুতিনের সাথে বৈঠকের ফলে ‘নতুন আশার’ সম্ভাবনা দেখতে পাচ্ছি: এরদোগান,1.0
"মাশরাফী ক্ষুব্ধ, বিসিবি বিস্মিত",1.0
নারী দেহরক্ষীর গোপন জীবন,1.0
"পার্টি ডাকলে সাড়া দিব, এখন সিনেমা নিয়ে ব্যস্ত : জ্যোতি",1.0
দুবাইয়ে সেলুনেও মাশরাফী-মুশফিকের হাসিমুখ,1.0
আগামীকাল মাঠে নামছে দুই ম্যানচেস্টার ও লিভারপুল,1.0
গাজার একমাত্র আন্তর্জাতিক বিমানবন্দর এখন ধ্বংসস্তূপ!,1.0
টিভিতে আজকের খেলা,1.0
'সিরিয়ার অখণ্ডতার জন্য সবচেয়ে বড় হুমকি যুক্তরাষ্ট্র',1.0
ইরানে সামরিক প্যারেডে বন্দুকধারীদের গুলি,1.0
বরিশালে বিপুল পরিমাণ জাল দলিলসহ চার প্রতারক আটক,1.0
নিউইয়র্কের উদ্দেশে আজ ঢাকা ছাড়ছেন প্রধানমন্ত্রী,1.0
কলকাতার বেঙ্গল সোনালী অতীত ক্লাব চ্যাম্পিয়ন,1.0
আবারো ওয়ালটন পণ্য কিনে নতুন গাড়ি পাওয়ার সুযোগ,1.0
সরলার সংক্ষিপ্ত জীবনী,1.0
অ্যাকশনএইড-ডিইউডিএস জাতীয় বিতর্ক উৎসব শুরু,1.0
নদী বিষয়ক বইমেলা উদ্বোধন,1.0
শাবির ছাত্রী হলে চুরির ঘটনায় তদন্ত কমিটি গঠন,1.0
৭ কি.মি. বন্যানিয়ন্ত্রণ বাঁধ ৪ বার বিলীন যমুনায়,1.0
কেন্দ্রের নির্দেশে সীতাকুণ্ডের পথসভা বাতিল,1.0
পাকিস্তানকে পাত্তাই দিল না ভারত,1.0
সমাবেশে যোগ দিয়েছেন বি. চৌধুরী,1.0
বদ্বীপ মহাপরিকল্পনা কী এবং কেন?,1.0
সিলেটে বিমানের সিটের নিচে মিলল ৪০ স্বর্ণ বার,1.0
মোবাইল নিয়ে টয়লেটে গিয়ে প্রাণ গেল রানার,1.0
"পরকীয়া প্রেমে বাধা, অন্তঃসত্ত্বা স্ত্রীর সঙ্গে ভয়ঙ্কর কাণ্ড স্বামীর",1.0
মেসেজ বেহাত ঝুঁকিতে টুইটার ব্যবহারকারীরা,1.0
মিয়ানমারের বিচার ছাড়া শান্তি আসবে না,1.0
বিআরডব্লিউএসএসপি'র ৩৭ প্রকল্পে অনিয়মের বিরুদ্ধে ব্যবস্থা নেয়ার দাবি,1.0
"বঙ্গোপসাগরে লঘুচাপ, সারাদেশে তীব্র গরম",1.0
ইথিওপিয়ার মাদক 'খাট' জব্দ উত্তরায়,1.0
মেজর (অব.) মান্নানকে দুদকে তলব,1.0
আওয়ামী লীগের তৃতীয় দফা নির্বাচনী যাত্রা শুরু,1.0
"জিপ-মোটরসাইকেল সংঘর্ষ, অধ্যক্ষ নিহত",1.0
এমপিপুত্র রনির মামলায় রায় ৪ অক্টোবর,1.0
"ভোট হবে, গণতন্ত্র বাঁচবে তো!",1.0
গোপালগঞ্জে পানিতে ডুবে শিশুর মৃত্যু,1.0
অনুপ্রেরণায় সালমান শাহ,1.0
ভারত-পাকিস্তান ম্যাচ উপলক্ষে অর্ধনগ্ন হলেন পুনম পান্ডে,1.0
ক্যানসারে বছরে এক লাখ মানুষের মৃত্যু : স্বাস্থ্যমন্ত্রী,1.0
রায়ডুকে ফেরালেন রুবেল,1.0
রোহিঙ্গাদের সংকটে বিশ্ব বসে থাকবে না : সু চিকে ব্রিটিশ পররাষ্ট্রমন্ত্রী,1.0
"সোহেলের মুক্তির দাবিতে বিক্ষোভ ২০ সেপ্টেম্বর, ২০১৮ ২২:১৬",1.0
পাকিস্তানের বিপক্ষে জয়ের ব্যাপারে আশাবাদী মুস্তাফিজ,1.0
ট্রাম্পকে অভিশংসনের পরিকল্পনা করার অভিযোগ প্রত্যাখ্যান রড রজেন্সটাইনের,1.0
"অস্ত্রধারীরা ছাত্রলীগ, যুবলীগের",1.0
৫৭ ধারার পরের পর্ব,1.0
সিলেটে শিশুবান্ধব আদালতের আনুষ্ঠানিক উদ্বোধন,1.0
জাপানে দলীয় নেতৃত্বের নির্বাচনে জয়ী প্রধানমন্ত্রী আবে,1.0
তান্দুরি চা!,1.0
"যুক্তরাষ্ট্রের ম্যারিল্যান্ডে বন্দুক হামলা, সন্দেহভাজনসহ নিহত ৪",1.0
"চড়া সবজির বাজার, দাম বেড়েছে ডিম ও মুরগির",1.0
বরিশালে ইউপি চেয়ারম্যান বিশ্বজিৎ হত্যায় গ্রেপ্তার পাঁচ,1.0
‘মাদকাসক্ত শিশুদের চিকিৎসায় শিশু ওয়ার্ড চালু হচ্ছে’,1.0
চীন-যুক্তরাষ্ট্রের স্নায়ুযুদ্ধের আশংকা বিশ্লেষকদের,1.0
নির্বাচনকালীন সরকারে মন্ত্রী হিসেবে থাকবো: এরশাদ,1.0
"বরিশালে দলীয় কোন্দলেই চেয়ারম্যান খুন, ধারণা পুলিশের",1.0
নারীদেহের ঘ্রাণই কি পুরুষের আকর্ষণের কারণ?,1.0
‘সহকারী শিক্ষক’ নিয়োগ নিয়োগ আবেদনেই প্রতিষ্ঠানের ফান্ডে ৪০ কোটি টাকা!,1.0
"মাথাপিছু আয় ১৭৫১ ডলার, জিডিপি ৭.৮৬ শতাংশ",1.0
উস্কানি রোধে নজরদারি থাকবে সামাজিক যোগাযোগ মাধ্যমে,1.0
নাইজেরিয়া বাংলাদেশ থেকে কৃষিক্ষেত্রে অনেক কিছু শিখতে পারে: নাইজেরিয়ার কৃষি প্রতিমন্ত্রী,1.0
"রোনালদোর লাল কার্ড, ২ পেনাল্টি গোলে ইউভেন্তুসের জয়",1.0
‘যোগ্য হয়েও’ বুয়েটে ভর্তি পরীক্ষার সুযোগ পাচ্ছেন না ১৪ শিক্ষার্থী,1.0
মাঠেই কেঁদে ফেললেন রোনালদো,1.0
ধানমণ্ডিতে চার দিনের বনসাই প্রদর্শনী,1.0
ফ্রুট সিরাপে সহনীয় মাত্রার চেয়ে ক্ষতিকর এসিড দ্বিগুণ,1.0
"পুরস্কার পাননি, তবু নজর কেড়েছেন",1.0
"আরও সেনা মোতায়েন করবে তুরস্ক ১৯ সেপ্টেম্বর, ২০১৮ ২২:১৬",1.0
ফুটবলারদের ইনজুরি নিয়ে চিন্তিত কোচ জেমি ডে,1.0
মোবাইল ফোনের কলরেট ২৫ পয়সা করার দাবি,1.0
সিনহার বইটি ফ্যাসিবাদী সরকারের ক্রীড়নকের আত্মস্বীকৃত দলিল: জামায়াত,1.0
টসে জিতে ব্যাটিংয়ে পাকিস্তান,1.0
ডিআইইউ'র জেএমসি অ্যালামনাই অ্যাসোসিয়েশনের কমিটি গঠন,1.0
সুন্দরগঞ্জে বন্যায় ২৪ বিদ্যালয়ের কার্যক্রম স্থগিত,1.0
এক নিয়োগ আবেদনে ৪০ কোটিরও বেশি আয়,1.0
কারও মান ভাঙাতে পারব না: হাসিনা,1.0
টেকনাফে ইয়াবাসহ রোহিঙ্গা আটক,1.0
"আটকে যাচ্ছে সংসদ নির্বাচন, তফসিল ঘোষণা স্থগিত চেয়ে আবেদন",1.0
"চোখে ঘুম নিয়ে ড্রাইভিং, প্রাণ গেল চালকের",1.0
আবার গ্রেপ্তারের পর ২১ দফা অভিযোগের মুখে নাজিব রাজাক,1.0
চিত্রনায়ক সালমান শাহ’র জন্ম,1.0
এশিয়া কাপ : উদ্বোধনী ম্যাচে মুখোমুখি বাংলাদেশ-শ্রীলংকা,1.0
যশোর ও বান্দরবানে ‌'বন্দুকযুদ্ধে' নিহত ২,1.0
মহাসড়ক প্রশস্তকরণ কাজের উদ্বোধন করলেন ওবায়দুল কাদের,1.0
বিশ্ব শান্তি দিবসে রাজধানীতে র‌্যালি,1.0
বিতর্কিতরা মনোনয়ন পাবে না,1.0
রোহিঙ্গাদের স্বাস্থ্য সহায়তায় বিশ্বব্যাঙ্কের ৫ কোটি ডলার,1.0
ট্রাম্পকে উৎখাতের পরিকল্পনার অভিযোগ,1.0
সুরে মোহিত করলেন তৃতীয় লিঙ্গের শিল্পী জান্নাত,1.0
সৌদি থেকে দেশে ফিরলেন আরও ৪১ নারী,1.0
লাল বিকিনিতে অনলাইন কাঁপাচ্ছেন এই নায়িকা,1.0
মন্ত্রীদের বহিষ্কারের রীতি চান উপসচিব,1.0
ঢাবির ‘খ’ ইউনিটের পরীক্ষা শেষ,1.0
"কণ্ঠ রোধটা কোথায়, প্রশ্ন প্রধানমন্ত্রীর",1.0
ডায়াবেটিস সারাবে কাঁচা হলুদ,1.0
দেশে শিগগিরই অনেক পরিবর্তন হবে: মওদুদ,1.0
"টেকনাফে ৭২ হাজার ইয়াবা উদ্ধার, রোহিঙ্গা নাগরিক আটক",1.0
বিরোধীরা সব জায়গায় সমাবেশ করতে পারবে,1.0
"কর্মীর ভুলে জরুরি অবতরণ, প্রাণে বাঁচলেন ১৬৬ যাত্রী",1.0
এশিয়া কাপের মধ্যেই আফগান বোর্ড প্রধানের পদত্যাগ,1.0
নেত্রকোণায় ছেলে হত্যার অভিযোগে মা গ্রেপ্তার,1.0
স্বাধীন সাংবাদিকতার কণ্ঠরোধ করা হচ্ছে,1.0
বাংলাদেশি বংশোদ্ভূত আনোয়ার চৌধুরীকে গভর্নর পদ থেকে প্রত্যাহার,1.0
জিপি অ্যাকসেলেরেটর কর্মসূচিতে চার মাসের প্রশিক্ষণ,1.0
কুমিল্লার মামলায় খালেদার জামিন শুনানি পেছাল,1.0
স্পেশাল ডিসকাউন্ট প্যাকেজ,1.0
আবারও ব্যর্থ লিটন দাস,1.0
ফিরে গেলেন দুই ওপেনার,1.0
বিএসএফ জওয়ানের মাথা কেটে নিয়ে গেছে পাকবাহিনী,1.0
রাজবাড়ীতে আশুরা উপলক্ষে শোক র‌্যালী,1.0
ওয়েস্ট হ্যামের সঙ্গে গোলশূন্য ড্র চেলসির,1.0
মালয়েশিয়ায় সাঁড়াশি অভিযানে ৫৫ বাংলাদেশি আটক,1.0
ওসমানীনগরে বাসের ধাক্কায় নিহত ২,1.0
ছাত্রীর চুল কেটে নিল বখাটে,1.0
জাতীয় ঐক্যের সমাবেশে যোগ দিয়েছেন ফখরুলরা,1.0
আওয়ামীলীগের নির্বাচনী বহর চট্টগ্রাম যাচ্ছে আজ,1.0
বামজোট- যুক্তফ্রন্ট বৈঠকটি সন্ধ্যায় হচ্ছে না,1.0
বিএনপি এখন দিবাস্বপ্ন দেখছে: সেতুমন্ত্রী,1.0
"দুই বংশে সংঘর্ষ, আহত ২৫",1.0
মানুষের প্রত্যাশা পূরণ হয়নি: ইলিয়াস কাঞ্চন,1.0
ফাইনালের আশা টিকিয়ে রাখল টাইগাররা,1.0
মেসির হ্যাটট্রিকে বার্সার চার গোলের জয়,1.0
যশোরে শতভাগ নিরাপদ ফসল উৎপাদনের কার্যক্রম,1.0
'এস কে সিনহার বই প্রকাশ রাজনীতিতে ধুম্রজাল সৃষ্টির চেষ্টা',1.0
মুখের দুর্গন্ধ দূর করতে করণীয়,1.0
যুক্তফ্রন্টের সমাবেশে যাবে বিএনপি!,1.0
চট্টগ্রামে ৩ শিবির নেতা গ্রেফতার,1.0
এবার ৭ গোলের জয় মেয়েদের,1.0
আমার কোনও অ্যাটর্নি জেনারেল নেই: ট্রাম্প,1.0
ভারতীয় নিম্নমানের চাপাতিতে সয়লাব যশোরের হাটবাজার,1.0
ভারতের ই-স্পোর্টস টুর্নামেন্টে জয়ী বাংলাদেশের গেমাররা,1.0
আফগানদের তিন উইকেটে হারাল পাকিস্তান,1.0
‘জার্মানিতে বাংলাদেশি বেকারদের জন্য আমার এই উদ্যোগ’,1.0
রাজধানীতে কড়া নিরাপত্তায় তাজিয়া মিছিল,1.0
"পাল্টাপাল্টি সমাবেশের ডাক, হঠাৎ উত্তাপ",1.0
ভাব-গাম্ভীর্য আর নানা আনুষ্ঠানিকতায় পালিত হচ্ছে পবিত্র আশুরা,1.0
"তানজানিয়ায় ফেরিডুবিতে নিহত বেড়ে ১২৭, ৩ দিনের শোক",1.0
আসগর-রশিদ ও হাসানকে আইসিসি'র শাস্তি,1.0
"লজ্জাজনক হারের পর, মাশরাফির আক্ষেপ",1.0
খালেদার দেখা পেতে আজও যাবেন আইনজীবীরা,1.0
"আমিরাতে আভ্যন্তরীণ ভিসা পরিবর্তনের সুযোগ, প্রবাসীদের মাঝে স্বস্তি",1.0
"এবার সাকিবের আঘাত, আরেক উইকেট হারাল আফগানরা",1.0
‘শিডিউল কোনো অজুহাত হতে পারে না’,1.0
জয়পুরহাটে ইয়াবাসহ দুই কারবারি আটক,1.0
খালেদা জিয়ার সঙ্গে কারাগারে স্বজনদের সাক্ষাৎ,1.0
জেনে নিন হার্দিক পান্ডিয়ার সর্বশেষ অবস্থা,1.0
মেঘনায় ট্রলার ডুবিতে ৩ শ্রমিক নিখোঁজ,1.0
এশিয়া কাপে ভারত ও পাকিস্তান মিলে সেরা ১১-তে আছেন যারা,1.0
এক বছরের মধ্যে নারী লিগ আয়োজনের পরিকল্পনা বাফুফের,1.0
মুখের দুর্গন্ধ দূর করতে করণীয়,1.0
পরমাণু শক্তি কমিশনে নিয়োগ,1.0
ঝিনাইদহের নতুন পুলিশ সুপার হাসানুজ্জামান,1.0
ফুটপাতে খাবার বিক্রেতা নারী এখন সিঙ্গাপুরের রাষ্ট্রপতি,1.0
এশিয়ান ভলিবলের সেমিফাইনালে বাংলাদেশ,1.0
"খাগড়াছড়িতে ব্রিজ ভেঙ্গে ট্রাক পানিতে, নিখোঁজ ১",1.0
বিশ্বকাপ ফুটবল কুইজের পুরস্কার প্রদান,1.0
"মাগুরায় পূজা পরিষদের সভায় দুই পক্ষের সংঘর্ষ, আহত ১০",1.0
আলোচনা-সমালোচনার মধ্যে ‘ডিজিটাল নিরাপত্তা আইন-২০১৮’ পাস,1.0
বিশ্বে প্রতি ৫ সেকেন্ডে ১ শিশুর মৃত্যু,1.0
বন্যায় তলিয়েছে ৫ হাজার হেক্টর আমনের খেত,1.0
রোহিঙ্গা সংকট নিয়ে আলোচনা করতে মিয়ানমারে ব্রিটিশ পররাষ্ট্রমন্ত্রী,1.0
যাত্রীসাধারণের প্রতিকারের পথ রুদ্ধ করা হলো,1.0
আফগানিস্তানের পুলিশ স্টেশনে বোমা হামলায় ৮ শিশু নিহত,1.0
সাড়ে পাঁচ ঘণ্টা পর চট্টগ্রামের সঙ্গে রেল চলাচল শুরু,1.0
আজ জেতা হলো না বাংলাদেশের,1.0
"নারীদের পেশাগত দক্ষতা বৃদ্ধিতে কাজ করছে ‘উইএ’ ১৯ সেপ্টেম্বর, ২০১৮ ২১:৪৫",1.0
রহস্যজনক খুনখারাবি,1.0
রোহিঙ্গাদের স্বাস্থ্য সুরক্ষায় ৫০ মিলিয়ন ডলার দেবে বিশ্বব্যাংক,1.0
চট্টগ্রাম কলেজ ছাত্রলীগ কমিটি নিয়ে ধাওয়া-পাল্টা ধাওয়া,1.0
কাঠালিয়ায় সড়ক দুর্ঘটনায় বৃদ্ধের মৃত্যু,1.0
ইরানে কুচকাওয়াজে হামলায় মদদ দেয়ার অভিযোগ অস্বীকার যুক্তরাষ্ট্রের,1.0
প্রধানমন্ত্রীর সফরসঙ্গী ফেরদৌস-রিয়াজ,1.0
বঙ্গোপসাগরে ১০ ট্রলারসহ অর্ধশত জেলে নিখোঁজ,1.0
চুক্তি বাড়ালেন সার্জিও অ্যাগুয়েরো,1.0
সামরিক প্যারেডে অংশ নিল কুকুরছানা! (ভিডিও),1.0
‘ডিজিটাল নিরাপত্তায় অনিরাপদ সাংবাদিকতা?’ শীর্ষক বাংলা ট্রিবিউন বৈঠকি শুরু,1.0
খুলনা-৪ আসনে মনোনয়ন দৌড়ে এগিয়ে যারা,1.0
শুরুতেই দুই উইকেট হারালো বাংলাদেশ,1.0
রাষ্ট্রীয় মর্যাদায় আ.লীগ নেতা ভুলুর দাফন সম্পন্ন,1.0
"বদলে যাচ্ছে চ্যাম্পিয়নস লিগের সময়, বাংলাদেশিদের সুবিধা-অসুবিধা",1.0
এ সপ্তাহের রাশিফল (২১-২৭ সেপ্টেম্বর),1.0
মালয়েশিয়ার সাবেক প্রধানমন্ত্রী নাজিবের বিরুদ্ধে ২১ মামলা,1.0
সংবাদপত্রে প্রকাশিত প্রার্থী তালিকা ভুয়া-মনগড়া,1.0
পুরনো কারগারে ভবনের ছাদে বিদ্যুতস্পৃষ্টে নিহত ১,1.0
অনেক কাজেই খোঁজ পড়ে,1.0
৫ দিনের রিমান্ডে হাবিব-উন নবী সোহেল,1.0
মিরপুরের কালশি বস্তিতে মাদকবিরোধী অভিযান,1.0
"কালুখালীতে ২০ গ্রাম প্লাবিত, উঁচু স্থানে সাপের উপদ্রব",1.0
সংসদে ডিজিটাল নিরাপত্তা বিল পাস,1.0
চিকিৎসা নিতে চেন্নাই যাচ্ছেন আফজাল শরীফ,1.0
গোপালগঞ্জে পলাতক আসামি পিস্তলসহ গ্রেপ্তর,1.0
‘প্রগ্রামার হতে দক্ষতা ও সৃজনশীলতা জরুরি’,1.0
পাবনায় নৌকাডুবি : নিখোঁজদের সন্ধানে অভিযান চলছে,1.0
‘আমি ভীষণ এনজয় করছি’,1.0
দুই শিক্ষার্থীর গলায় ওড়না প্যাঁচানো ছিল,1.0
"‘বছরে ক্যান্সারে আক্রান্ত হচ্ছে ৩ লাখ মানুষ’ ২০ সেপ্টেম্বর, ২০১৮ ২০:৪০",1.0
চট্টগ্রামে ধর্ষণের অভিযোগে ৬ জন আটক,1.0
শিল্প প্রতিষ্ঠান শ্রমিকদের বিল সংসদে পাস,1.0
"এবার ভারতের বাজারে আসছে গোবরের তৈরি সাবান, গোমূত্রের শ্যাম্পু",1.0
বিএনপির কথায় জনগণের আস্থা নেই,1.0
ভারত-পাকিস্তান মহারণ দেখতে দুবাই যাচ্ছেন ইমরান খান,1.0
ইস্তাম্বুলে নির্মাণাধীন বিমানবন্দরের ২৪ শ্রমিকের কারাদণ্ড,1.0
ইন্টারনেট ব্যবহারকারী ৯ কোটি,1.0
গাইবান্ধায় ভোটে উন্নয়নই হতে যাচ্ছে প্রধান ইস্যু,1.0
তুরাগ নদী থেকে ২ ছাত্রীর লাশ উদ্ধার,1.0
"ঋণ শোধ দিতে না পারায় ছাত্রদল নেতার লাথি, গর্ভের শিশুর মৃত্যু",1.0
মাদক বিরোধী অভিযানে গ্রেফতার ৮৩ হাজার: স্বরাষ্ট্রমন্ত্রী,1.0
প্রতিবন্ধিদের জন্য কোটা রাখার সুপারিশ,1.0
কুষ্টিয়ায় দুটি রুটে বাস চলাচল বন্ধ,1.0
হাশমতের ব্যাটে আফগানদের চ্যালেঞ্জ,1.0
‘দক্ষিণ এশিয়া নিয়ে গবেষণায় আগ্রহ বাড়ছে’,1.0
জেনেভায় ফ্যাটি লিভার সম্মেলন আজ,1.0
মেসির হ্যাটট্রিকে বার্সার চমৎকার শুরু,1.0
সৌম্য-ইমরুল বিষয়ে মাশরাফির সঙ্গে আলোচনা হয়নি!,1.0
ছেলেকে বহনকারী মাইক্রোর চাপায় বাবার মৃত্যু,1.0
এনবিআরের নজরদারিতে আসছে বড় ব্যবসায়ীদের লেনদেন,1.0
রাস্তা সংকুচিত করে ওয়াকফ্ সম্পত্তিতে স্থাপনা নির্মাণ!,1.0
বিকেলে যুক্তফ্রন্ট ও জাতীয় ঐক্য'র সমাবেশ,1.0
"কাশ্মিরে মহররমের শোক মিছিলে বিধিনিষেধ, ধরপাকড়",1.0
কন্যা সন্তানের বাবা হলেন নীল,1.0
পুরনো কারাগারে ভবনের ছাদে বিদ্যুৎস্পৃষ্টে শিক্ষার্থীর মৃত্যু,1.0
মেক্সিকোতে আবারও সাংবাদিক খুন,1.0
পৌনে ২ লাখ মেট্রিক টন সার আমদানির সিদ্ধান্ত,1.0
রুবেলের প্রথম আঘাত,1.0
শুরু হল বাংলালিংক নেক্সট টিউবারের দ্বিতীয় আসর,1.0
রেললাইনে পড়ে যাওয়া বাবাকে উঠাতে গিয়ে ট্রেনে কাটা পড়ল মেয়ে,1.0
কুমিল্লা বিদ্যুতের তার ছিঁড়ে পড়ে ৪ জনের মৃত্যু,1.0
প্রতিরক্ষা মন্ত্রণালয়ের বেসামরিক পদে ১৭৭ নিয়োগ হবে,1.0
নানিয়ারচরে প্রতিপক্ষের হামলায় নিহত ২,1.0
বেড়েছে সবজির দাম,1.0
বাগেরহাটে সরকারি ঘর পাচ্ছে ৩ হাজার ৮৭১ পরিবার,1.0
ভারত-বাংলাদেশ ম্যাচে পার্থক্য গড়েছে যে বিষয়গুলো,1.0
এশিয়া কাপে যোগ দিতে দুবাই যাচ্ছেন ইমরুল-সৌম্য,1.0
"ভিক্টোরিয়া লেকে ফেরিডুবি, ১৩৬ জনের মৃত্যু",1.0
চট্টগ্রাম কলেজে সংঘর্ষ: অস্ত্রধারী একজন গ্রেপ্তার,1.0
আবারও সাকিবের উইকেট,1.0
বরুণ মেয়েদের খুব সম্মান করে ॥ আনুশকা,1.0
শঙ্কামুক্ত পান্ডিয়া,1.0
'তিন তালাক শাস্তিযোগ্য অপরাধ',1.0
কুমিল্লায় সংঘর্ষে দুইজন নিহতের ঘটনায় প্রতিপক্ষের একজনকে পিটিয়ে হত্যার অভিযোগ,1.0
"'নেইমার একা নয়, সবাই দায়ী'",1.0
ভারতের কাছে ৭ উইকেটে হারল বাংলাদেশ,1.0
